iter	RMSE
0	11647.30144
1	11316.5409
2	10999.42526
3	10671.18541
4	10380.3875
5	10077.41435
6	9803.317261
7	9561.732599
8	9305.861234
9	9072.278826
10	8843.632682
11	8601.413386
12	8396.436346
13	8196.882939
14	8006.118817
15	7808.430659
16	7627.402772
17	7460.233623
18	7294.286453
19	7137.946021
20	6982.485828
21	6837.943261
22	6703.550441
23	6569.269797
24	6451.940771
25	6330.789712
26	6228.697729
27	6118.712144
28	6022.705794
29	5928.396112
30	5837.272838
31	5753.15045
32	5669.074996
33	5595.680073
34	5526.006719
35	5457.612332
36	5396.597611
37	5346.077448
38	5294.44524
39	5242.050327
40	5187.574077
41	5134.49643
42	5096.67698
43	5058.412919
44	5018.250386
45	4976.778482
46	4937.395087
47	4902.767566
48	4873.048764
49	4845.2786
50	4814.423338
51	4785.600821
52	4753.83417
53	4729.59566
54	4704.696173
55	4681.392116
56	4661.941009
57	4643.20419
58	4621.246289
59	4602.015514
60	4585.304809
61	4569.858438
62	4553.281407
63	4537.900464
64	4521.864291
65	4505.887468
66	4493.594589
67	4483.265804
68	4469.738694
69	4455.671992
70	4444.983649
71	4434.792354
72	4422.877492
73	4411.835222
74	4402.032598
75	4394.925699
76	4386.036456
77	4379.080341
78	4372.673433
79	4363.60208
80	4356.075971
81	4348.551675
82	4341.130634
83	4334.06674
84	4328.478688
85	4321.582892
86	4319.670915
87	4309.502714
88	4303.453337
89	4296.206883
90	4292.529473
91	4286.24578
92	4283.204705
93	4277.944568
94	4273.157094
95	4267.375352
96	4263.437351
97	4257.953181
98	4252.33016
99	4247.715638
100	4243.286919
101	4239.022386
102	4233.066836
103	4228.113245
104	4225.30302
105	4221.133176
106	4218.316972
107	4214.424944
108	4213.411795
109	4211.184015
110	4207.791385
111	4204.815082
112	4201.425827
113	4199.270451
114	4195.363661
115	4192.230555
116	4187.55021
117	4179.94338
118	4176.100053
119	4172.719391
120	4167.42329
121	4165.111476
122	4162.776279
123	4159.435064
124	4158.01966
125	4154.270772
126	4153.407371
127	4150.226806
128	4146.03824
129	4143.744264
130	4140.76791
131	4136.927299
132	4134.985261
133	4132.787644
134	4129.048454
135	4127.182664
136	4124.958841
137	4123.783329
138	4119.71219
139	4115.35229
140	4111.402594
141	4106.690705
142	4105.279247
143	4099.13585
144	4096.13604
145	4093.255286
146	4089.502808
147	4085.93798
148	4083.331396
149	4080.942004
150	4075.439926
151	4072.644644
152	4070.998972
153	4068.852038
154	4064.215834
155	4064.029008
156	4061.239128
157	4059.733596
158	4057.064226
159	4053.44717
160	4051.300172
161	4048.761285
162	4046.650744
163	4043.577599
164	4037.719836
165	4033.626271
166	4030.011756
167	4027.330842
