iter	Passed	Remaining
0	155	154927
1	156	78168
2	157	52507
3	159	39666
4	160	31979
5	162	26849
6	163	23172
7	164	20378
8	165	18244
9	167	16536
10	168	15129
11	169	13959
12	170	12966
13	172	12118
14	173	11384
15	174	10738
16	175	10151
17	176	9647
18	177	9189
19	179	8776
20	180	8407
21	181	8070
22	182	7764
23	183	7460
24	184	7200
25	185	6954
26	187	6742
27	187	6519
28	189	6330
29	190	6151
30	190	5966
31	192	5809
32	192	5653
33	194	5519
34	195	5393
35	196	5273
36	198	5165
37	199	5058
38	201	4959
39	202	4863
40	204	4774
41	205	4690
42	206	4597
43	207	4516
44	209	4442
45	210	4373
46	212	4309
47	214	4248
48	216	4196
49	217	4137
50	219	4080
51	220	4026
52	222	3971
53	223	3918
54	224	3862
55	226	3811
56	227	3762
57	228	3717
58	230	3679
59	232	3637
60	233	3595
61	234	3552
62	236	3513
63	237	3475
64	239	3443
65	240	3408
66	242	3373
67	243	3341
68	245	3312
69	246	3279
70	248	3250
71	249	3219
72	251	3189
73	252	3161
74	254	3133
75	255	3106
76	257	3081
77	258	3058
78	260	3034
79	261	3011
80	263	2986
81	264	2960
82	265	2935
83	267	2912
84	268	2889
85	269	2868
86	270	2840
87	272	2819
88	273	2804
89	275	2788
90	277	2769
91	278	2749
92	279	2730
93	281	2711
94	282	2690
95	283	2671
96	285	2653
97	286	2636
98	287	2618
99	289	2605
100	290	2588
101	291	2570
102	293	2553
103	294	2536
104	295	2520
105	296	2504
106	298	2488
107	299	2473
108	300	2452
109	301	2436
110	302	2422
111	304	2411
112	305	2398
113	306	2384
114	307	2369
115	309	2356
116	310	2342
117	311	2328
118	312	2315
119	313	2302
120	315	2290
121	316	2275
122	317	2263
123	318	2251
124	320	2240
125	321	2228
126	322	2213
127	323	2202
128	324	2190
129	325	2179
130	326	2168
131	328	2157
132	329	2145
133	330	2134
134	331	2124
135	332	2114
136	334	2104
137	335	2093
138	336	2083
139	337	2073
140	338	2063
141	339	2053
142	341	2044
143	342	2035
144	343	2025
145	344	2016
146	345	2007
147	347	1999
148	348	1990
149	349	1982
150	351	1973
151	352	1964
152	353	1956
153	354	1947
